Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",6.913888889,652,4:556485,total:2298124,16,9,Scholastic Inc.,28062,2006,eng,J.K. Rowling,4.57,2:25317,5:1546466,,3:159960
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",1:12455,870,4:604283,total:2358637,1,9,Scholastic Inc.,29770,2004,eng,J.K. Rowling,4.5,2:37005,5:1493113,439358078,3:211781
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",1:108202,309,4:1513191,total:6587388,1,11,Scholastic Inc,75911,2003,eng,J.K. Rowling,4.47,2:130310,5:4268227,,3:567458
4,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",1:11896,352,4:706082,total:2560657,1,11,Scholastic,244,2003,eng,J.K. Rowling,4.42,2:49353,5:1504505,439554896,3:288821
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",1:10128,435,4:630534,total:2610317,1,5,Scholastic Inc.,37093,2004,eng,J.K. Rowling,4.57,2:24849,5:1749958,043965548X,3:194848
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",6.582638889,734,4:606800,total:2431085,28,9,Scholastic,31978,2002,eng,J.K. Rowling,4.56,2:24282,5:1612165,,3:178419
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",0.320833333,2690,3.395833333,total:43968,13,9,Scholastic,166,2004,eng,J.K. Rowling,4.78,0.279861111,5:37432,439682584,0.959027778
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",1:00,152,4:07,total:28,26,4,Nimble Books,1,2005,en-US,W. Frederick Zimmerman,3.79,2:05,5:10,976540606,3:06
10,"Harry Potter Collection (Harry Potter, #1-6)",0.220138889,3342,3.193055556,total:30313,12,9,Scholastic,809,2005,eng,J.K. Rowling,4.73,0.234722222,5:24406,439827604,0.870833333
12,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",2.432638889,815,4:75683,total:274268,1,11,Gramercy Books,255,2005,eng,Douglas Adams,4.37,5.370138889,5:157499,517226952,3:30030
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",2.432638889,815,4:75683,total:274268,30,4,Del Rey Books,4119,2002,eng,Douglas Adams,4.37,5.370138889,5:157499,345453743,3:30030
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1:28636,215,4:396332,total:1350083,3,8,Crown,470,2004,eng,Douglas Adams,4.22,2:54163,5:682711,1400052920,3:188241
18,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",2.432638889,815,4:75683,total:274268,17,1,Wings Books,194,1996,eng,Douglas Adams,4.37,5.370138889,5:157499,517149257,3:30030
21,A Short History of Nearly Everything,3.611111111,544,4:94040,total:276166,14,9,Broadway Books,9545,2004,eng,Bill Bryson,4.21,6.588194444,5:129555,076790818X,3:38064
22,Bill Bryson's African Diary,0.214583333,55,1.839583333,total:8393,3,12,Broadway Books,503,2002,eng,Bill Bryson,3.45,0.767361111,1.186111111,767915062,2.445833333
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,1:36,256,0.909027778,total:2656,14,9,Broadway Books,131,2004,eng,Bill Bryson,3.88,0.172222222,0.714583333,767910435,0.606944444
24,In a Sunburned Country,0.727083333,335,4:34941,total:85287,15,5,Broadway Books,4298,2001,eng,Bill Bryson,4.07,2.097222222,5:30483,767903862,3:15976
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,0.55625,304,4:22652,total:56082,28,6,Broadway Books,2224,2000,eng,Bill Bryson,3.9,1.964583333,5:15891,076790382X,3:14089
26,The Lost Continent: Travels in Small Town America,0.995138889,299,4:18427,total:49012,28,8,William Morrow Paperbacks,2276,1990,eng,Bill Bryson,3.83,2.31875,5:14013,60920084,3:11980
27,Neither Here nor There: Travels in Europe,0.855555556,254,4:20655,total:54388,28,3,William Morrow Paperbacks,2264,1993,eng,Bill Bryson,3.86,2.378472222,5:15888,380713802,3:13368
28,Notes from a Small Island,1.074305556,324,4:35153,total:89491,28,5,William Morrow Paperbacks,3335,1997,eng,Bill Bryson,3.92,3.359027778,5:27216,380727501,3:20918
29,The Mother Tongue: English and How It Got That Way,0.381944444,270,4:13483,total:33416,28,9,William Morrow Paperbacks,2123,1991,eng,Bill Bryson,3.93,1.257638889,5:10087,380715430,5.447916667
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0.680555556,1728,4:22283,total:106621,25,9,Ballantine Books,1548,2012,eng,J.R.R. Tolkien,4.6,1.085416667,5:75533,345538374,4.598611111
31,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.051388889,1184,4:126639,total:539513,21,10,Houghton Mifflin Harcourt,90,2004,eng,J.R.R. Tolkien,4.5,2:11142,5:352247,618517650,3:43711
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",1:45879,398,4:593379,total:2255826,5,9,Houghton Mifflin Harcourt,13935,2003,eng,J.R.R. Tolkien,4.36,2:65166,5:1314771,618346252,3:236631
36,The Lord of the Rings: Weapons and Warfare,0.274305556,218,2.970138889,total:20920,5,11,Houghton Mifflin Harcourt,45,2003,eng,Chris   Smith,4.53,0.304861111,5:14522,618391002,1.310416667
37,The Lord of the Rings: Complete Visual Companion,1:04,224,0.223611111,total:380,15,11,Houghton Mifflin Harcourt,6,2004,eng,Jude Fisher,4.5,2:10,0.384027778,618510826,3:31
38,The Lord of the Rings Box Set,4.051388889,1223,4:126639,total:539513,19,9,,19,2001,eng,J.R.R. Tolkien,4.5,2:11142,5:352247,618153977,3:43711
45,Agile Web Development with Rails: A Pragmatic Guide,1:56,558,0.736111111,total:2080,28,7,Pragmatic Bookshelf,59,2005,eng,Dave Thomas,3.84,0.169444444,0.611111111,097669400X,0.472222222
46,Ruby Quickly: Ruby and Rails for the Real World,1:01,360,4:00,total:5,1,8,Manning Publications,0,2006,,Mark   Watson,3.4,2:00,5:02,1932394745,3:02
50,"Hatchet (Brian's Saga, #1)",1:14007,208,4:92227,total:288973,1,4,Atheneum Books for Young Readers: Richard Jackson Books,12157,2000,eng,Gary Paulsen,3.72,2:26144,5:85440,689840926,3:71155
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",1:03,48,4:08,total:36,28,8,Teacher Created Resources,2,1994,eng,Donna Ickes,4,2:02,5:18,1557344493,3:05
53,Guts: The True Stories behind Hatchet and the Brian Books,1:54,144,0.743055556,total:2400,23,1,Delacorte Press,336,2001,eng,Gary Paulsen,3.88,0.179861111,0.743055556,385326505,0.546527778
54,Molly Hatchet - 5 of the Best,1:01,56,4:00,total:6,10,6,Cherry Lane Music Company,0,2003,eng,Molly Hatchet,4.33,2:00,5:05,1575606240,3:00
55,Hatchet Jobs: Writings on Contemporary Fiction,1:10,228,4:43,total:123,1,11,The New Press,16,2005,en-US,Dale Peck,3.46,2:10,5:22,1595580271,3:38
56,The Woodsman and His Hatchet: Eighty Years on Back Country Survival,1:00,150,4:00,total:10,1,10,Stoneydale Press,0,1996,,Bud Cheff Sr.,3.6,2:02,5:04,912299622,3:04
57,A Changeling for All Seasons (Changeling Seasons #1),1:10,304,4:49,total:171,1,11,Changeling Press,4,2005,eng,Angela Knight,3.76,2:13,5:57,1595962808,3:42
58,"Changeling (Changeling, #1)",1:39,256,0.411111111,total:1049,17,8,Viking Juvenile,112,2006,eng,Delia Sherman,3.6,0.150694444,0.366666667,670059676,0.35625
59,The Changeling Sea,0.096527778,137,1.29375,total:4836,14,4,Firebird,306,2003,eng,Patricia A. McKillip,4.06,0.21875,1.555555556,141312629,0.81875
61,The Changeling,1:13,228,0.48125,total:1365,8,6,iUniverse,97,2004,eng,Zilpha Keatley Snyder,4.17,2:48,0.632638889,595321801,0.291666667
65,"Shadows in the Starlight (Changeling Detective, #2)",1:06,288,0.220138889,total:199,6,2,Tor Books,6,2007,,Elaine Cunningham,3.68,2:11,5:41,765348527,0.169444444
66,"The Changeling (Daughters of England, #15)",1:02,369,0.271527778,total:439,28,8,Ivy Books,13,1990,eng,Philippa Carr,3.98,2:21,0.313888889,449146979,0.203472222
67,The Known World,0.689583333,388,4:12417,total:33493,29,8,Amistad,2632,2006,eng,Edward P. Jones,3.83,1.791666667,7.079166667,61159174,5.534027778
71,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",1:38,334,0.561805556,total:1645,15,5,FT Press,83,2006,eng,Satyajit Das,3.83,0.161111111,0.55,273704745,0.426388889
72,Artesia: Adventures in the Known World,1:00,352,4:24,total:53,14,12,Archaia,4,2005,eng,Mark Smylie,4.13,2:02,5:19,1932386106,3:08
74,"The John McPhee Reader (John McPhee Reader, #1)",1:02,416,0.322222222,total:624,1,6,"Farrar, Straus and Giroux",37,1982,eng,John McPhee,4.42,2:06,0.441666667,374517193,3:56
75,Uncommon Carriers,1:21,248,0.764583333,total:1895,16,5,Farrar Straus Giroux,203,2006,en-US,John McPhee,3.95,0.135416667,0.575694444,374280398,0.409027778
76,Heirs of General Practice,1:01,128,0.25,total:287,1,4,"Farrar, Straus and Giroux",23,1986,eng,John McPhee,4.16,2:06,0.284722222,374519749,3:50
77,The Control of Nature,1:25,288,1.179166667,total:3747,1,9,"Farrar, Straus and Giroux",305,1990,en-US,John McPhee,4.24,0.144444444,1.36875,374522596,0.475694444
78,Annals of the Former World,1:56,720,0.863194444,total:3472,6,1,"Farrar, Straus and Giroux",227,1999,eng,John McPhee,4.34,0.153472222,1.550694444,374518734,0.388194444
79,Coming Into the Country,1:57,448,1.757638889,total:6049,1,4,"Farrar, Straus and Giroux",262,1991,eng,John McPhee,4.22,0.186805556,2.063888889,374522871,0.736111111
80,La Place de la Concorde Suisse,1:07,160,0.398611111,total:816,1,4,"Farrar, Straus and Giroux",53,1994,fre,John McPhee,3.92,2:44,0.374305556,374519323,0.258333333
81,Giving Good Weight,1:03,288,0.340972222,total:587,1,4,"Farrar, Straus and Giroux",36,1994,eng,John McPhee,4.22,2:10,0.376388889,374516006,0.18125
82,"The Second John McPhee Reader (John McPhee Reader, #2)",1:00,393,0.216666667,total:202,28,2,"Farrar, Straus and Giroux",1,1996,,John McPhee,4.37,2:02,0.279861111,374256861,3:25
83,Rising from the Plains,1:07,208,0.551388889,total:1418,1,11,"Farrar, Straus and Giroux",99,1987,eng,John McPhee,4.23,2:31,0.636111111,374520658,0.270833333
85,The Heidi Chronicles,1:38,81,0.517361111,total:1513,1,3,Dramatists Play Service,70,2002,eng,Wendy Wasserstein,3.75,0.179861111,0.500694444,822205106,0.409722222
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,0.1,249,0.797222222,total:2776,2,7,Vintage,64,1991,eng,Wendy Wasserstein,3.84,0.220138889,0.829166667,679734996,0.60625
89,"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",1:01,138,4:09,total:31,29,3,Routledge,1,2006,eng,Heidi Hayes Jacobs,3.94,2:00,5:11,1596670231,3:10
90,Simply Beautiful Beaded Jewelry,1:01,128,4:22,total:64,14,3,North Light Books,4,2006,en-US,Heidi Boyd,3.77,2:05,5:17,1581807740,3:19
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,1:09,192,0.338194444,total:1009,1,9,Chosen Books,53,2003,eng,Heidi Baker,4.46,2:18,0.647222222,800793617,0.196527778
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,1:03,108,4:23,total:77,28,1,Association for Supervision & Curriculum Development,2,1997,en-US,Heidi Hayes Jacobs,3.66,2:04,5:19,871202867,3:28
93,"Heidi (Heidi, #1-2)",1.647222222,352,4:55474,total:167957,15,11,Kingfisher,2289,2002,eng,Johanna Spyri,3.99,6.1625,5:61857,753454947,3:39560
94,Getting Results with Curriculum Mapping,1:02,192,4:08,total:56,15,11,ASCD,5,2004,eng,Heidi Hayes Jacobs,3.25,2:12,5:11,871209993,3:23
95,"Cinnamon and Roses (Rose Trilogy, #1)",1:03,298,4:22,total:82,1,1,Leisure Books,5,2000,,Heidi Betts,3.83,2:08,5:30,843946687,3:19
96,There's Always Enough: The Miraculous Move of God in Mozambique,1:09,192,0.338194444,total:1009,28,4,Sovereign World,6,2003,eng,Rolland Baker,4.46,2:18,0.647222222,1852402873,0.196527778
98,What to Expect the First Year (What to Expect),0.322222222,832,3.956944444,total:15480,16,10,Workman Publishing Company,663,2003,eng,Heidi Murkoff,3.89,0.692361111,3.672916667,761129588,2.730555556
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,1:01,123,4:07,total:34,10,5,One Hour Entertainment,8,2004,eng,Heidi Fleiss,3.82,2:05,5:14,972016414,3:07
100,Simply Beautiful Beading: 53 Quick and Easy Projects,1:00,128,4:30,total:86,19,8,North Light Books,4,2004,en-US,Heidi Boyd,3.78,2:09,5:23,1581805632,3:24
101,Chasing Jordan,1:04,240,4:07,total:36,11,7,Serpent's Tail,7,2005,,Heidi W. Boehringer,3.44,2:03,5:10,1852428937,3:12
102,Seven-Year Seduction,1:03,184,4:31,total:89,14,2,Silhouette Desire,6,2006,,Heidi Betts,3.61,2:07,5:18,373767099,3:30
103,"God Emperor of Dune (Dune Chronicles, #4)",0.894444444,423,4:20916,total:63372,15,6,Ace Books,167,1987,eng,Frank Herbert,3.85,3.504166667,5:20076,441294677,3:16226
104,"Dune (Dune Chronicles, #1)",1:15670,528,4:200976,total:688418,2,8,Ace Books,468,2005,eng,Frank Herbert,4.23,2:27945,5:351127,,3:92700
105,Chapterhouse: Dune (Dune Chronicles #6),0.564583333,436,4:14899,total:44113,1,7,Ace Books,569,1987,eng,Frank Herbert,3.91,2.125694444,5:14828,441102670,3:10692
106,Dune Messiah (Dune Chronicles #2),0.924305556,331,4:47997,total:119887,15,7,Ace Books,2372,1987,eng,Frank Herbert,3.88,4.716666667,5:33606,441172695,3:30341
107,Dreamer of Dune: The Biography of Frank Herbert,1:18,592,0.357638889,total:849,1,7,Tor Books,21,2004,en-US,Brian Herbert,4.01,2:42,0.436805556,765306476,0.253472222
108,The Secrets of Frank Herbert's Dune,1:00,160,4:10,total:44,31,10,iBooks,0,2000,,James Van Hise,3.52,2:07,5:10,074340730X,3:17
109,"Heretics of Dune (Dune Chronicles, #5)",0.590972222,480,4:18351,total:51869,16,4,Putnam,20,1984,eng,Frank Herbert,3.86,2.475694444,5:15664,399128980,3:13618
110,The Road to Dune,0.113888889,426,1.238888889,total:5143,29,8,Tor Science Fiction,83,2006,eng,Frank Herbert,3.88,0.316666667,1.440972222,765353709,1.086111111
112,Children of Dune (Dune Chronicles #3),0.750694444,408,4:38518,total:99703,15,5,Ace Books,1408,1987,eng,Frank Herbert,3.93,3.688194444,5:30710,,3:24263
117,Heretics of Dune (Dune Chronicles #5),0.590972222,471,4:18351,total:51869,15,8,Ace Books,642,1987,eng,Frank Herbert,3.86,2.475694444,5:15664,441328008,3:13618
119,The Lord of the Rings: The Art of the Fellowship of the Ring,0.229166667,192,4.040972222,total:28117,12,6,Houghton Mifflin Harcourt,102,2002,eng,Gary Russell,4.6,0.266666667,5:20057,618212906,1.477083333
121,The Patriarch: The Rise and Fall of the Bingham Dynasty,1:04,576,4:10,total:24,1,2,Touchstone,1,1993,,Susan E. Tifft,3.67,2:02,5:08,671797077,3:00
122,"The Power of One (The Power of One, #1)",0.654861111,544,4:22532,total:74341,29,9,Ballantine Books,4580,1996,eng,Bryce Courtenay,4.35,1.435416667,5:40853,034541005X,5.768055556
125,The Power of One: Daisy Bates and the Little Rock Nine,1:01,192,4:10,total:37,20,12,Clarion Books,7,2004,,Dennis Brindell Fradin,4.41,2:00,5:22,061831556X,3:04
128,The Power of One Christlike Life,1:01,159,4:08,total:40,1,7,Whitaker House,3,2000,,Francis Frangipane,4.22,2:03,5:23,883686287,3:05
129,"The Power of One: One Person, One Rule, One Month",1:00,256,4:04,total:18,1,11,Thomas Nelson,1,2004,en-US,John C. Maxwell,4.22,2:02,5:10,785260056,3:02
130,Power of an Hour: Business and Life Mastery in One Hour a Week,1:12,205,4:55,total:207,19,5,Wiley,16,2006,eng,Dave Lakhani,3.34,2:38,5:39,471780936,0.16875
131,"The Power of One: The Solo Play for Playwrights, Actors, and Directors",1:01,240,4:04,total:15,7,2,Heinemann Drama,0,2000,eng,Louis E. Catron,3.67,2:02,5:05,325001537,3:03
132,"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",1:02,336,4:31,total:90,3,5,William Morrow Paperbacks,9,2005,eng,Adam Ginsberg,3.48,2:14,5:15,006076287X,3:28
133,eBay for Dummies,1:06,386,0.211111111,total:217,30,10,Wiley,9,2006,eng,Marsha Collier,3.51,2:28,5:43,470045299,0.177777778
134,eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers,1:05,385,4:22,total:64,24,9,McGraw-Hill/Osborne,2,2004,,Debra Schepp,3.59,2:02,5:14,72258691,3:21
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,1:00,260,4:05,total:24,24,1,McGraw-Hill,0,2006,eng,Chris Malta,3.62,2:04,5:07,72262788,3:08
137,Starting an eBay Business for Dummies,1:05,384,4:37,total:117,17,9,Wiley,4,2004,eng,Marsha Collier,3.55,2:17,5:27,764569244,3:31
138,eBay: Top 100 Simplified Tips & Tricks,1:00,260,4:03,total:11,6,6,Wiley,0,2006,eng,Julia Wilkinson,4.27,2:01,5:06,471933821,3:01
139,ebay Timesaving Techniques for Dummies,1:01,391,4:04,total:23,31,5,Wiley,1,2004,en-US,Marsha Collier,3.39,2:05,5:06,764559915,3:07
140,eBay Business All-in-One Desk Reference for Dummies,1:01,864,4:09,total:18,25,4,Wiley,3,2005,en-US,Marsha Collier,3.89,2:01,5:05,764584383,3:02
141,Ruby Cookbook,1:04,873,0.211805556,total:185,29,7,O'Reilly Media,4,2006,eng,Lucas Carlson,3.83,2:12,5:54,596523696,3:50
142,Ruby Ann's Down Home Trailer Park Cookbook,1:02,240,4:16,total:51,3,5,Citadel,5,2005,eng,Ruby Ann Boxcar,4.12,2:01,5:23,806523492,3:09
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,1:00,206,4:09,total:13,3,5,Citadel,2,2005,eng,Ruby Ann Boxcar,4.08,2:01,5:03,806525363,3:00
146,Ruby's Low-Fat Soul Food Cookbook,1:00,175,4:01,total:5,1,9,McGraw-Hill/Contemporary Books,0,1996,,Ruby Banks-Payne,4.8,2:00,5:04,809231530,3:00
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,1:03,514,4:23,total:68,1,1,O'Reilly Media,1,2007,eng,Rob Orsini,3.46,2:10,5:12,596527314,3:20
149,The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,1:00,256,4:00,total:4,1,12,Anness Publishing/Southwater Publishing,0,2000,,Ruby Le Bois,3.75,2:01,5:02,184215298X,3:01
151,Anna Karenina,1:16361,838,4:207053,total:631550,31,5,Penguin Classics,1873,2004,eng,Leo Tolstoy,4.05,2:34470,5:261170,143035002,3:112496
154,CliffsNotes on Tolstoy's Anna Karenina,1:01,80,4:04,total:19,26,11,Cliffs Notes,3,1965,eng,Marianne Sturman,3.89,2:03,5:09,822001837,3:02
159,Dinner with Anna Karenina,1:44,360,0.234722222,total:498,28,1,Mira Books,65,2006,eng,Gloria Goldreich,2.98,0.15625,5:43,778322270,0.269444444
160,Tolstoy: Anna Karenina,1:27,128,0.448611111,total:1214,26,11,Cambridge University Press,33,1987,eng,Anthony Thorlby,4.19,2:47,0.605555556,521313252,0.2375
162,Untouchable,0.095833333,160,1.260416667,total:3967,3,7,Penguin Books,286,1990,eng,Mulk Raj Anand,3.72,0.290972222,0.804861111,140183957,0.927777778
163,The Untouchable,1:50,368,0.933333333,total:2686,30,6,Vintage Books,218,1998,eng,John Banville,3.95,0.183333333,0.79375,679767479,0.503472222
164,The Untouchables,1:14,256,0.352083333,total:684,1,2,Buccaneer Books,31,1996,eng,Eliot Ness,3.89,2:41,0.350694444,1568491980,0.234027778
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,1:04,320,0.265277778,total:357,27,9,Scribner,40,2005,en-US,Narendra Jadhav,3.82,2:22,0.270833333,743270797,0.19375
166,Dalit: The Black Untaouchables of India,1:01,100,4:02,total:10,28,1,Clarity Press,0,1995,eng,V.T. Rajshekar,4.2,2:00,5:06,932863051,3:01
167,"The Untouchables: Subordination, Poverty and the State in Modern India (Contemporary South Asia, #4)",1:01,308,4:01,total:5,30,4,Cambridge University Press,0,1998,,Oliver Mendelsohn,4,2:00,5:03,521553628,3:00
168,Growing Up Untouchable in India: A Dalit Autobiography,1:02,224,4:05,total:20,20,12,Rowman & Littlefield Publishers,4,2000,eng,Vasant Moon,3.65,2:02,5:07,742508803,3:04
170,The Book of Evidence,1:00,304,4:03,total:12,20,11,Oxford University Press,2,2003,,Peter Achinstein,3.83,2:01,5:04,195171713,3:04
171,The Evidence-Based Social Work Skills Book,1:01,216,4:01,total:10,22,9,Pearson,0,2003,eng,Barry R. Cournoyer,3.4,2:03,5:04,205358624,3:01
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",1:00,48,4:02,total:17,28,9,Teacher Created Resources,0,1991,eng,John Carratello,4,2:03,5:09,1557344035,3:03
180,Wrinkles in Time,1:19,360,0.428472222,total:1161,1,10,Harper Perennial,23,1994,eng,George Smoot,4.01,0.129861111,0.522222222,380720442,0.295833333
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),1:32628,250,4:317628,total:1017308,1,5,EMC/Paradigm Publishing,6,2002,eng,Madeleine L'Engle,4,2:60867,5:412718,821925326,3:193467
182,Literature Circle Guide: A Wrinkle in Time,1:02,32,4:03,total:15,1,1,Teaching Resources,0,2002,eng,Tara MacCarthy,3.6,2:02,5:06,043927169X,3:02
183,Un raccourci dans le temps,1:32628,254,4:317628,total:1017308,28,4,Pocket,8,1997,,Madeleine L'Engle,4,2:60867,5:412718,2266081594,3:193467
184,Empress in the Wrinkle of Time: The Knight-King Chronicle,1:00,508,4:00,total:4,28,8,Xlibris Corporation,0,2000,,Valerie Metcalf Estoye,4.25,2:01,5:03,738817538,3:00
192,A Wrinkle in Time: L-I-T Guide,1:03,40,4:12,total:54,1,12,Educational Impressions,3,1997,,Charlotte S. Jaffe,3.91,2:05,5:24,1566440114,3:10
197,A Wrinkle in Time: Teacher Guide,1:01,32,4:04,total:22,1,12,Novel Units,0,1998,,Anne Troy,4.14,2:01,5:12,1561371181,3:04
201,Una arruga en el tiempo – A Wrinkle in Time,1:32628,205,4:317628,total:1017308,1,6,Turtleback Books,1,1984,spa,Madeleine L'Engle,4,2:60867,5:412718,606105263,3:193467
204,"The Long Shadow (The Morland Dynasty, #6)",1:03,367,0.28125,total:455,1,6,"Little, Brown Book Group",17,1994,eng,Cynthia Harrod-Eagles,4.11,2:15,0.334027778,751506435,0.188194444
205,"A Long Shadow (Inspector Ian Rutledge, #8)",1:10,352,1.425,total:3879,3,1,William Morrow,238,2006,eng,Charles Todd,4.12,2:56,1.109722222,006078671X,0.613194444
206,Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance,1:01,344,4:03,total:14,31,8,Rowman & Littlefield Publishers,4,2005,,Christopher Waldrep,3.29,2:03,5:03,742548686,3:04
207,Long Way Round: Chasing Shadows Across the World,0.15,320,2.697916667,total:9348,1,11,Atria Books,44,2005,en-US,Ewan McGregor,3.95,0.383333333,2.272916667,743499344,1.6125
208,"A Shadow in Summer (Long Price Quartet, #1)",0.280555556,331,3.15625,total:11123,7,3,Tor Books,636,2006,eng,Daniel Abraham,3.61,0.766666667,1.634027778,765313405,2.511805556
213,New Hope for the Dead (Hoke Mosely #2),1:02,244,0.496527778,total:1051,10,8,Vintage Crime/Black Lizard,79,2004,eng,Charles Willeford,3.9,2:56,0.392361111,1400032490,0.300694444
214,Sideswipe: A Hoke Moseley Novel,1:07,215,0.448611111,total:931,8,3,Vintage Crime/Black Lizard,72,2005,eng,Charles Willeford,4.04,2:40,0.421527778,1400032482,0.24375
215,The Way We Die Now,1:04,256,0.426388889,total:803,16,8,Vintage Crime/Black Lizard,62,2005,,Charles Willeford,4.06,2:27,0.386111111,1400032504,0.223611111
216,Miami Blues (Hoke Moseley #1),1:44,191,1.136805556,total:3508,10,8,Vintage Crime/Black Lizard,181,2004,eng,Charles Willeford,3.94,0.197222222,0.952083333,1400032466,0.702777778
218,The Woman Chaser,1:05,192,0.338888889,total:600,1,4,Newstand Library,51,1960,,Charles Willeford,3.93,2:26,0.329166667,1842430017,0.227083333
219,The Machine in Ward Eleven,1:02,160,4:50,total:147,27,8,Thunder's Mouth Press,15,2001,,Charles Willeford,3.59,2:12,5:26,1568582102,3:57
221,Wild Wives,1:03,102,0.294444444,total:452,9,9,Vintage Crime/Black Lizard,44,2009,,Charles Willeford,3.68,2:30,0.263888889,1400032474,0.232638889
222,The Shark-Infested Custard,1:08,272,0.318055556,total:574,6,12,Vintage Crime/Black Lizard,58,2005,,Charles Willeford,3.82,2:37,0.315277778,1400032512,0.234027778
224,The Black Mass of Brother Springer,1:03,208,0.236805556,total:237,1,12,Wit's End Books,11,2003,,Charles Willeford,3.97,2:08,0.258333333,1930997353,3:53
226,Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,1:01,184,4:00,total:7,15,1,Texas Tech University Press,0,2001,,Kirby Olson,4.14,2:00,5:05,896724409,3:01
228,Cockfighter,1:18,200,0.498611111,total:1200,1,6,Blackmask.com,62,2005,,Charles Willeford,4.11,2:41,0.532638889,1596542225,0.261111111
229,"Sideswipe (Hoke Moseley, #3)",1:07,279,0.448611111,total:931,12,6,Ballantine Books,3,1988,,Charles Willeford,4.04,2:40,0.421527778,345349474,0.24375
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),1:06,144,0.369444444,total:771,3,10,Vintage,11,1990,eng,Charles Willeford,3.89,2:57,0.368055556,679732527,0.254166667
231,I am Charlotte Simmons,1.141666667,738,5.447916667,total:23687,30,8,Picador USA,1696,2005,eng,Tom Wolfe,3.42,2.238194444,3.197916667,312424442,5.048611111
234,The Complete Verse and Other Nonsense,1:20,624,0.388194444,total:974,29,10,Penguin Books,27,2002,,Edward Lear,4.18,2:26,0.519444444,142002275,0.236805556
236,The Complete Nonsense of Edward Lear,1:16,287,0.343055556,total:789,1,6,Amereon Limited,39,1940,,Edward Lear,4.03,2:51,0.430555556,089190090X,0.227777778
237,Poetry for Young People: Edward Lear,1:01,48,4:30,total:76,1,10,Sterling,19,2001,eng,Edward Lear,3.91,2:05,5:23,806930772,3:17
239,An Edward Lear Alphabet,1:01,32,4:10,total:50,1,4,HarperCollins Publishers,9,1999,,Edward Lear,3.42,2:09,5:11,60281138,3:19
241,A Was Once an Apple Pie,1:08,32,4:57,total:217,1,9,Orchard Books,67,2005,,Edward Lear,3.41,2:35,5:42,439660564,0.177083333
242,The Owl and the Pussycat,0.096527778,32,1.75,total:8057,7,5,Puffin Books,9,1996,,Edward Lear,4.19,0.313888889,2.928472222,698113675,1.13125
243,The Pobble Who Has No Toes (Edward Lear's Little Books of Nonsense),1:00,24,4:12,total:50,27,3,HarperCollins Publishers,6,1986,,Edward Lear,4.6,2:00,5:34,246128828,3:04
244,The Puffin Book of Nonsense Verse,1:01,287,4:43,total:103,3,10,Puffin,6,1996,eng,Quentin Blake,4,2:04,5:33,140366601,3:22
